score,accuracy,average_response_time,questions_attempted,performance_category
135.0,64.2,17.35,21,Average Performer
442.0,83.27,7.64,47,High Performer
115.0,38.23,14.49,30,Average Performer
374.0,83.6,7.24,41,High Performer
363.0,82.55,15.36,40,High Performer
154.0,59.15,23.37,26,Average Performer
99.0,30.0,19.12,33,Average Performer
239.0,64.6,30.0,37,Average Performer
22.0,31.5,17.75,7,Low Performer
28.0,23.55,22.49,12,Low Performer
210.0,60.1,18.55,35,Average Performer
361.0,70.75,8.16,44,High Performer
248.0,59.0,14.04,42,Average Performer
134.0,74.38,23.22,18,Average Performer
104.0,64.99,24.12,16,Average Performer
151.0,53.78,25.82,28,Average Performer
29.0,11.91,27.08,24,Low Performer
265.0,67.94,12.28,39,Average Performer
231.0,76.92,13.72,23,High Performer
186.0,74.22,15.23,22,High Performer
236.0,94.0,10.72,22,High Performer
303.0,94.25,15.87,26,High Performer
94.0,36.33,19.71,26,Average Performer
250.0,84.03,14.42,24,High Performer
155.0,39.75,10.0,39,Average Performer
107.0,33.51,16.76,32,Average Performer
284.0,74.87,25.02,38,Average Performer
170.0,58.46,16.33,29,Average Performer
153.0,72.98,15.1,21,Average Performer
88.0,31.34,29.13,28,Low Performer
180.0,75.0,24.62,24,Average Performer
91.0,36.37,12.23,25,Average Performer
266.0,100.0,15.03,22,High Performer
338.0,84.04,7.72,33,High Performer
397.0,85.59,9.53,42,High Performer
108.0,47.05,24.91,23,Low Performer
122.0,40.81,22.19,30,Average Performer
64.0,33.72,30.0,19,Low Performer
317.0,79.69,11.22,34,High Performer
317.0,89.74,17.27,29,High Performer
277.0,84.01,8.61,25,High Performer
285.0,83.1,8.47,29,High Performer
34.0,13.05,29.97,26,Low Performer
53.0,35.58,10.4,15,Average Performer
294.0,71.78,11.17,41,Average Performer
436.0,94.59,15.12,42,High Performer
232.0,65.12,8.76,25,High Performer
135.0,44.89,23.75,30,Average Performer
113.0,38.81,18.29,29,Average Performer
182.0,62.84,18.12,29,Average Performer
115.0,50.0,23.44,23,Low Performer
223.0,82.79,12.36,23,High Performer
552.0,100.0,12.76,49,High Performer
378.0,100.0,7.92,36,High Performer
368.0,81.63,10.8,40,High Performer
77.0,34.91,29.3,22,Low Performer
429.0,81.12,20.88,43,High Performer
277.0,70.78,10.34,32,High Performer
346.0,84.28,16.95,35,High Performer
35.0,25.26,22.93,14,Low Performer
338.0,78.75,19.91,39,High Performer
187.0,51.96,13.01,36,Average Performer
75.0,44.0,10.8,17,Average Performer
212.0,49.26,28.05,43,Average Performer
224.0,60.61,20.71,37,Average Performer
264.0,77.07,11.58,29,High Performer
180.0,59.89,25.15,30,Average Performer
273.0,83.27,9.45,29,High Performer
518.0,96.73,12.01,46,High Performer
37.0,16.69,22.71,22,Low Performer
325.0,73.57,12.72,35,High Performer
75.0,30.0,20.22,25,Average Performer
22.0,31.14,27.44,7,Low Performer
104.0,64.93,16.31,16,Average Performer
15.0,16.15,18.08,9,Low Performer
99.0,66.04,20.11,15,Average Performer
302.0,68.62,15.88,44,Average Performer
44.0,22.0,19.69,20,Low Performer
188.0,75.0,14.44,25,Average Performer
166.0,69.22,17.13,24,Average Performer
326.0,82.91,8.36,31,High Performer
179.0,54.36,17.59,33,Average Performer
109.0,41.8,19.14,26,Low Performer
59.0,23.56,16.85,25,Low Performer
85.0,38.48,19.14,22,Average Performer
439.0,84.1,15.48,43,High Performer
326.0,100.0,10.27,25,High Performer
140.0,35.12,20.96,40,Average Performer
178.0,57.44,13.07,31,Average Performer
6.0,4.33,27.65,15,Low Performer
145.0,53.85,17.06,27,Average Performer
73.0,26.85,25.54,27,Low Performer
197.0,61.65,16.11,32,Average Performer
182.0,62.83,10.0,29,Average Performer
177.0,46.49,20.13,38,Average Performer
225.0,75.0,17.25,30,Average Performer
134.0,70.34,18.78,19,Average Performer
376.0,90.08,17.18,39,High Performer
232.0,75.0,16.94,31,Average Performer
76.0,34.76,15.01,22,Low Performer
33.0,23.81,19.94,14,Low Performer
167.0,64.3,14.01,26,Average Performer
395.0,80.31,12.35,43,High Performer
275.0,62.52,14.03,44,Average Performer
231.0,60.78,17.88,38,Average Performer
250.0,67.5,18.02,37,Average Performer
445.0,87.6,7.75,43,High Performer
218.0,60.43,15.63,36,Average Performer
107.0,59.32,11.3,18,Average Performer
270.0,91.75,13.68,23,High Performer
445.0,84.36,10.23,44,High Performer
268.0,88.46,13.3,27,High Performer
117.0,48.61,21.12,24,Average Performer
304.0,89.94,19.48,26,High Performer
72.0,30.0,12.34,24,Average Performer
81.0,42.63,20.22,19,Average Performer
228.0,63.45,20.56,36,Average Performer
184.0,68.06,29.22,27,Average Performer
113.0,43.45,10.0,26,Average Performer
242.0,54.92,24.21,44,Average Performer
124.0,53.72,17.34,23,Average Performer
201.0,69.85,14.62,20,High Performer
127.0,42.42,19.15,30,Average Performer
79.0,39.59,30.0,20,Low Performer
232.0,75.0,25.48,31,Average Performer
348.0,81.15,9.23,32,High Performer
255.0,57.97,14.04,44,Average Performer
73.0,45.35,17.69,16,Low Performer
129.0,56.03,24.65,23,Average Performer
111.0,55.73,16.28,20,Average Performer
206.0,70.85,11.27,22,High Performer
119.0,47.64,10.0,25,Average Performer
108.0,49.15,11.4,22,Average Performer
115.0,54.87,12.16,21,Average Performer
64.0,42.81,19.05,15,Average Performer
411.0,91.39,15.23,39,High Performer
105.0,45.55,22.46,23,Average Performer
301.0,73.71,10.57,34,High Performer
197.0,63.51,20.36,31,Average Performer
239.0,72.31,17.84,33,Average Performer
15.0,21.47,30.0,7,Low Performer
131.0,50.55,19.15,26,Average Performer
412.0,85.79,9.57,44,High Performer
408.0,82.18,15.4,42,High Performer
179.0,52.75,21.19,34,Average Performer
94.0,44.56,13.64,21,Average Performer
56.0,22.32,23.96,25,Low Performer
97.0,53.67,24.17,18,Average Performer
366.0,96.49,14.72,30,High Performer
136.0,41.14,13.73,33,Average Performer
21.0,10.97,29.57,19,Low Performer
182.0,45.39,23.57,40,Average Performer
143.0,59.38,19.43,24,Average Performer
251.0,57.1,16.61,44,Average Performer
251.0,73.79,13.27,34,Average Performer
165.0,63.43,16.81,26,Average Performer
343.0,87.19,18.15,38,High Performer
113.0,32.41,18.18,35,Average Performer
374.0,90.73,13.36,37,High Performer
233.0,58.23,20.0,40,Average Performer
89.0,38.48,20.07,23,Average Performer
74.0,46.05,15.85,16,Low Performer
94.0,62.48,21.42,15,Average Performer
32.0,19.89,22.07,16,Low Performer
280.0,74.42,11.41,32,High Performer
117.0,73.1,15.96,16,Average Performer
433.0,90.23,12.7,43,High Performer
202.0,59.33,10.99,34,Average Performer
353.0,67.97,15.57,47,High Performer
41.0,27.02,22.06,15,Low Performer
126.0,42.08,22.41,30,Average Performer
261.0,65.15,16.85,40,Average Performer
199.0,48.66,12.09,41,Average Performer
138.0,43.21,23.81,32,Average Performer
251.0,71.85,10.18,35,Average Performer
399.0,88.07,8.82,40,High Performer
216.0,56.76,21.0,38,Average Performer
384.0,73.93,12.92,41,High Performer
255.0,75.0,13.84,34,Average Performer
333.0,72.9,10.19,40,High Performer
58.0,41.56,23.38,14,Low Performer
270.0,77.7,11.11,31,High Performer
126.0,30.0,20.29,42,Average Performer
97.0,53.79,16.53,18,Average Performer
384.0,96.59,13.85,33,High Performer
205.0,51.15,22.13,40,Average Performer
67.0,41.79,18.35,16,Low Performer
397.0,70.69,11.16,49,High Performer
300.0,80.73,14.37,34,High Performer
63.0,28.7,30.0,22,Low Performer
28.0,46.6,26.21,6,Low Performer
297.0,90.3,15.38,28,High Performer
266.0,66.5,21.61,40,Average Performer
126.0,52.42,21.91,24,Average Performer
439.0,87.69,14.67,42,High Performer
225.0,75.0,19.53,30,Average Performer
52.0,21.73,24.55,24,Low Performer
28.0,18.86,30.0,15,Low Performer
65.0,24.0,23.61,27,Low Performer
183.0,49.56,17.39,37,Average Performer
255.0,81.0,13.15,26,High Performer
85.0,47.0,22.13,18,Average Performer
279.0,87.24,6.7,28,High Performer
197.0,49.33,17.43,40,Average Performer
263.0,69.3,21.64,38,Average Performer
251.0,75.35,5.0,23,High Performer
230.0,75.1,7.28,26,High Performer
255.0,75.0,22.51,34,Average Performer
232.0,75.0,19.3,31,Average Performer
172.0,75.0,22.05,23,Average Performer
140.0,50.0,19.4,28,Low Performer
299.0,94.33,8.16,29,High Performer
103.0,60.33,15.44,17,Average Performer
262.0,65.59,18.76,40,Average Performer
202.0,75.0,18.7,27,Average Performer
123.0,72.51,19.23,17,Average Performer
325.0,87.97,22.36,32,High Performer
344.0,73.89,5.57,39,High Performer
229.0,85.76,8.78,20,High Performer
9.0,14.77,25.93,6,Low Performer
411.0,87.42,9.13,39,High Performer
196.0,52.93,17.98,37,Average Performer
150.0,75.0,11.57,20,Average Performer
423.0,100.0,14.41,37,High Performer
108.0,67.33,14.77,16,Average Performer
155.0,38.69,24.11,40,Average Performer
412.0,74.55,12.37,48,High Performer
82.0,45.69,28.59,18,Low Performer
0.0,0.0,26.8,26,Low Performer
374.0,75.22,15.16,44,High Performer
215.0,71.3,18.74,22,High Performer
137.0,48.99,21.21,28,Average Performer
262.0,75.0,11.79,35,Average Performer
360.0,72.56,8.73,42,High Performer
117.0,44.99,16.2,26,Average Performer
308.0,75.0,13.46,41,Average Performer
212.0,87.54,10.79,21,High Performer
378.0,99.8,15.02,30,High Performer
191.0,50.37,15.79,38,Average Performer
241.0,65.15,10.13,37,Average Performer
156.0,65.09,18.94,24,Average Performer
134.0,53.57,14.29,25,Average Performer
308.0,84.76,10.73,32,High Performer
197.0,59.6,16.69,33,Average Performer
214.0,49.73,30.0,43,Average Performer
40.0,50.0,17.83,8,Low Performer
389.0,92.59,9.21,32,High Performer
405.0,74.38,9.43,47,High Performer
281.0,61.98,5.0,36,High Performer
161.0,61.92,12.81,26,Average Performer
269.0,77.43,15.0,28,High Performer
89.0,55.74,27.31,16,Average Performer
85.0,49.72,29.33,17,Low Performer
109.0,47.54,26.22,23,Low Performer
303.0,72.11,11.32,42,Average Performer
295.0,90.88,8.99,29,High Performer
278.0,69.51,23.48,40,Average Performer
108.0,30.0,14.35,36,Average Performer
252.0,64.7,12.34,39,Average Performer
179.0,52.63,26.81,34,Average Performer
32.0,21.57,20.26,15,Low Performer
172.0,75.0,18.34,23,Average Performer
376.0,74.98,6.97,39,High Performer
86.0,50.74,20.97,17,Average Performer
188.0,75.0,26.14,25,Average Performer
20.0,19.97,24.16,10,Low Performer
184.0,55.87,10.0,33,Average Performer
67.0,23.18,30.0,29,Low Performer
202.0,75.0,17.61,27,Average Performer
201.0,60.76,19.24,33,Average Performer
84.0,30.0,19.27,28,Average Performer
437.0,100.0,8.85,37,High Performer
209.0,60.76,17.81,31,High Performer
246.0,57.3,14.33,43,Average Performer
447.0,80.13,12.85,47,High Performer
11.0,8.72,15.0,13,Low Performer
62.0,24.93,25.4,25,Low Performer
182.0,47.99,16.96,38,Average Performer
278.0,88.32,5.0,28,High Performer
13.0,22.36,23.16,6,Low Performer
300.0,69.29,14.93,37,High Performer
260.0,70.78,14.05,31,High Performer
261.0,96.69,9.4,21,High Performer
346.0,81.91,24.44,40,High Performer
396.0,80.88,8.72,38,High Performer
280.0,66.74,13.77,42,Average Performer
453.0,90.52,6.75,45,High Performer
28.0,22.99,21.96,12,Low Performer
38.0,29.13,21.29,13,Low Performer
377.0,93.38,8.29,39,High Performer
85.0,38.42,24.07,22,Average Performer
156.0,44.5,17.31,35,Average Performer
264.0,64.5,17.89,41,Average Performer
105.0,45.82,22.49,23,Low Performer
246.0,58.49,17.79,42,Average Performer
206.0,46.72,17.28,44,Average Performer
48.0,30.0,14.08,16,Average Performer
99.0,62.0,18.8,16,Average Performer
251.0,69.66,16.53,36,Average Performer
304.0,74.08,11.29,37,High Performer
414.0,82.92,5.0,46,High Performer
5.0,5.49,23.16,10,Low Performer
385.0,100.0,9.38,32,High Performer
111.0,69.29,21.54,16,Average Performer
442.0,88.11,9.42,42,High Performer
321.0,82.75,5.86,32,High Performer
185.0,42.96,20.12,43,Average Performer
301.0,82.51,7.71,30,High Performer
284.0,85.97,7.71,26,High Performer
225.0,57.63,15.75,39,Average Performer
134.0,43.17,20.19,31,Average Performer
493.0,97.46,15.95,47,High Performer
219.0,50.84,10.0,43,Average Performer
283.0,73.49,19.54,29,High Performer
181.0,67.41,19.83,21,High Performer
439.0,89.89,17.49,43,High Performer
98.0,36.44,30.0,27,Low Performer
122.0,32.12,19.67,38,Average Performer
131.0,65.44,16.65,20,Average Performer
149.0,37.35,14.16,40,Average Performer
73.0,36.67,21.94,20,Average Performer
137.0,41.4,11.67,33,Average Performer
54.0,31.55,24.33,17,Low Performer
101.0,67.55,13.2,15,Average Performer
291.0,69.81,14.04,35,High Performer
360.0,74.77,7.48,40,High Performer
25.0,12.69,15.0,20,Low Performer
237.0,69.76,14.84,34,Average Performer
52.0,17.95,30.0,29,Low Performer
283.0,67.4,23.43,42,Average Performer
115.0,30.22,28.6,38,Average Performer
323.0,89.87,6.38,30,High Performer
109.0,37.49,10.0,29,Average Performer
57.0,35.79,29.25,16,Low Performer
227.0,85.21,8.44,21,High Performer
376.0,79.18,12.17,41,High Performer
145.0,49.88,14.23,29,Average Performer
103.0,51.58,26.99,20,Average Performer
56.0,26.79,28.41,21,Low Performer
139.0,47.95,17.9,29,Average Performer
389.0,78.55,9.88,45,High Performer
411.0,91.33,13.63,38,High Performer
141.0,61.47,21.38,23,Average Performer
215.0,59.65,16.27,36,Average Performer
176.0,45.12,17.86,39,Average Performer
132.0,39.88,27.43,33,Average Performer
98.0,39.04,19.76,25,Average Performer
298.0,94.96,22.48,27,High Performer
19.0,32.01,22.02,6,Low Performer
380.0,89.59,10.99,34,High Performer
163.0,74.27,19.2,22,Average Performer
103.0,46.88,24.01,22,Average Performer
258.0,60.0,25.68,43,Average Performer
164.0,45.61,22.34,36,Average Performer
431.0,80.6,19.18,48,High Performer
528.0,100.0,13.7,49,High Performer
59.0,39.42,11.07,15,Average Performer
395.0,82.19,5.0,41,High Performer
119.0,47.73,15.13,25,Average Performer
262.0,75.0,18.68,35,Average Performer
256.0,66.98,15.33,32,High Performer
349.0,92.12,18.93,34,High Performer
31.0,13.95,24.88,22,Low Performer
407.0,84.26,10.99,43,High Performer
33.0,20.7,15.0,16,Low Performer
121.0,48.54,19.15,25,Average Performer
71.0,47.51,10.23,15,Average Performer
187.0,48.05,10.96,39,Average Performer
148.0,52.71,10.31,28,Average Performer
276.0,69.08,23.98,40,Average Performer
383.0,100.0,9.88,35,High Performer
111.0,69.5,11.57,16,Average Performer
42.0,23.54,26.83,18,Low Performer
304.0,88.77,15.27,32,High Performer
325.0,83.33,15.5,35,High Performer
34.0,24.44,26.95,14,Low Performer
460.0,95.06,11.9,44,High Performer
320.0,67.9,9.41,38,High Performer
140.0,50.0,26.28,28,Low Performer
139.0,33.83,15.21,41,Average Performer
126.0,39.48,17.88,32,Average Performer
199.0,66.18,15.82,30,Average Performer
163.0,39.78,16.59,41,Average Performer
167.0,66.76,12.17,25,Average Performer
135.0,30.66,16.97,44,Average Performer
289.0,99.54,18.09,24,High Performer
253.0,68.43,14.55,37,Average Performer
122.0,50.79,12.8,24,Average Performer
257.0,82.8,12.8,25,High Performer
100.0,52.83,20.35,19,Average Performer
155.0,50.04,16.4,31,Average Performer
101.0,41.96,13.68,24,Average Performer
147.0,45.92,25.7,32,Average Performer
118.0,69.57,18.26,17,Average Performer
25.0,19.26,26.47,13,Low Performer
298.0,66.33,10.96,35,High Performer
364.0,81.72,15.62,34,High Performer
132.0,30.0,17.22,44,Average Performer
173.0,44.23,20.25,39,Average Performer
50.0,23.84,16.77,21,Low Performer
428.0,75.28,18.9,47,High Performer
20.0,13.08,29.95,15,Low Performer
374.0,84.94,10.35,35,High Performer
108.0,30.0,27.21,36,Average Performer
163.0,62.74,18.34,26,Average Performer
105.0,61.5,15.13,17,Average Performer
432.0,99.47,12.92,41,High Performer
386.0,77.95,7.48,40,High Performer
253.0,96.09,16.14,20,High Performer
512.0,100.0,15.11,47,High Performer
121.0,66.95,17.38,18,Average Performer
187.0,53.48,17.32,35,Average Performer
150.0,45.42,20.27,33,Average Performer
82.0,45.75,14.42,18,Average Performer
0.0,0.18,26.59,5,Low Performer
35.0,50.0,25.0,7,Low Performer
87.0,37.97,20.63,23,Low Performer
188.0,62.76,18.99,30,Average Performer
93.0,44.16,20.6,21,Average Performer
255.0,100.0,11.45,21,High Performer
236.0,60.39,20.79,39,Average Performer
148.0,70.64,16.45,21,Average Performer
193.0,46.07,23.07,42,Average Performer
119.0,36.0,22.39,33,Average Performer
117.0,30.0,17.68,39,Average Performer
287.0,86.71,9.4,25,High Performer
382.0,85.82,10.26,39,High Performer
115.0,50.0,21.46,23,Low Performer
189.0,57.3,16.33,33,Average Performer
203.0,70.0,26.04,29,Average Performer
144.0,51.37,11.8,28,Average Performer
92.0,36.8,12.11,25,Average Performer
43.0,30.86,30.0,14,Low Performer
366.0,81.99,10.17,36,High Performer
99.0,30.0,14.44,33,Average Performer
288.0,90.71,16.43,28,High Performer
359.0,100.0,12.74,31,High Performer
229.0,84.81,16.0,26,High Performer
243.0,79.17,15.82,22,High Performer
360.0,87.43,9.24,37,High Performer
125.0,59.47,22.86,21,Average Performer
332.0,92.71,16.82,33,High Performer
146.0,35.72,17.14,41,Average Performer
330.0,60.28,8.71,45,High Performer
370.0,85.13,16.51,38,High Performer
189.0,62.97,29.01,30,Average Performer
81.0,30.0,13.84,27,Average Performer
156.0,39.88,15.1,39,Average Performer
219.0,68.52,25.89,32,Average Performer
270.0,100.0,10.39,23,High Performer
16.0,23.28,18.99,7,Low Performer
530.0,100.0,11.08,49,High Performer
370.0,95.57,13.21,33,High Performer
446.0,84.85,9.88,48,High Performer
430.0,95.29,7.16,39,High Performer
264.0,64.48,13.63,41,Average Performer
128.0,75.0,15.88,17,Average Performer
185.0,63.93,16.73,29,Average Performer
83.0,55.33,26.96,15,Average Performer
138.0,32.2,18.16,43,Average Performer
483.0,100.0,10.88,40,High Performer
361.0,83.14,9.01,36,High Performer
208.0,78.76,15.59,20,High Performer
120.0,57.31,23.7,21,Average Performer
255.0,70.36,7.96,30,High Performer
463.0,100.0,8.91,40,High Performer
58.0,24.05,21.65,24,Low Performer
44.0,31.09,18.17,14,Low Performer
58.0,38.9,25.5,15,Average Performer
208.0,60.0,14.48,21,High Performer
221.0,59.72,11.53,37,Average Performer
255.0,75.0,28.0,34,Average Performer
226.0,76.82,11.1,26,High Performer
72.0,44.96,22.39,16,Low Performer
220.0,61.19,15.63,36,Average Performer
75.0,30.0,14.71,25,Average Performer
12.0,24.32,18.71,5,Low Performer
195.0,44.27,23.43,44,Average Performer
395.0,76.53,15.61,46,High Performer
132.0,54.87,30.0,24,Average Performer
238.0,80.07,12.46,30,High Performer
138.0,62.71,19.66,22,Average Performer
120.0,30.0,15.99,40,Average Performer
388.0,72.89,14.02,46,High Performer
172.0,75.0,13.56,23,Average Performer
248.0,75.0,21.88,33,Average Performer
35.0,35.28,30.0,10,Low Performer
140.0,50.12,13.66,28,Average Performer
248.0,75.0,21.55,33,Average Performer
199.0,48.63,16.32,41,Average Performer
78.0,32.47,30.0,24,Low Performer
9.0,14.82,28.62,6,Low Performer
173.0,66.55,24.89,26,Average Performer
155.0,57.54,16.9,27,Average Performer
77.0,40.69,21.14,19,Low Performer
128.0,61.06,18.86,21,Average Performer
389.0,80.41,9.97,43,High Performer
145.0,69.24,21.89,21,Average Performer
200.0,62.59,20.24,32,Average Performer
170.0,56.74,11.72,30,Average Performer
336.0,86.82,9.8,31,High Performer
188.0,75.0,13.61,25,Average Performer
250.0,78.22,5.0,29,High Performer
79.0,41.47,24.09,19,Low Performer
35.0,50.0,22.31,7,Low Performer
64.0,28.94,30.0,22,Low Performer
134.0,43.11,19.56,31,Average Performer
62.0,43.95,30.0,14,Low Performer
301.0,71.59,23.99,42,Average Performer
80.0,42.04,10.0,19,Average Performer
146.0,56.1,17.69,26,Average Performer
350.0,77.46,7.97,39,High Performer
10.0,3.89,24.85,27,Low Performer
330.0,75.0,13.5,44,Average Performer
149.0,53.25,24.65,28,Average Performer
101.0,42.21,12.65,24,Average Performer
212.0,60.52,12.73,35,Average Performer
52.0,22.81,24.52,23,Low Performer
249.0,60.62,11.61,41,Average Performer
63.0,39.67,13.88,16,Average Performer
133.0,44.28,19.95,30,Average Performer
349.0,88.61,15.18,36,High Performer
70.0,40.99,23.38,17,Low Performer
301.0,88.03,17.61,28,High Performer
15.0,30.9,25.01,5,Low Performer
165.0,43.55,19.69,38,Average Performer
241.0,66.82,18.78,36,Average Performer
429.0,84.19,5.0,40,High Performer
7.0,10.44,20.08,7,Low Performer
365.0,77.82,14.0,41,High Performer
109.0,63.84,15.78,17,Average Performer
277.0,65.34,13.01,32,High Performer
58.0,36.25,20.69,16,Average Performer
55.0,19.55,21.34,28,Low Performer
222.0,56.93,28.84,39,Average Performer
354.0,80.21,11.27,35,High Performer
32.0,32.08,21.84,10,Low Performer
139.0,35.58,22.31,39,Average Performer
371.0,86.2,7.59,42,High Performer
224.0,74.83,16.95,30,Average Performer
64.0,21.96,27.35,29,Low Performer
29.0,29.46,25.08,10,Low Performer
306.0,89.36,13.93,29,High Performer
207.0,55.95,15.94,37,Average Performer
87.0,45.59,22.48,19,Average Performer
420.0,80.41,6.97,45,High Performer
292.0,73.12,15.58,40,Average Performer
265.0,79.69,8.17,26,High Performer
30.0,50.0,20.98,6,Low Performer
268.0,78.99,11.84,30,High Performer
11.0,4.12,28.7,26,Low Performer
0.0,0.0,30.0,5,Low Performer
238.0,68.09,15.89,35,Average Performer
413.0,100.0,12.09,33,High Performer
203.0,63.59,18.66,32,Average Performer
72.0,34.47,25.16,21,Low Performer
68.0,38.05,17.42,18,Low Performer
203.0,78.48,10.79,20,High Performer
72.0,29.86,27.2,24,Low Performer
163.0,62.72,14.82,26,Average Performer
205.0,77.52,9.83,23,High Performer
104.0,49.57,22.07,21,Low Performer
117.0,30.0,17.42,39,Average Performer
247.0,92.53,15.73,21,High Performer
363.0,86.87,8.4,35,High Performer
420.0,88.14,14.52,41,High Performer
424.0,86.25,13.55,41,High Performer
232.0,75.0,13.07,31,Average Performer
206.0,64.32,16.98,32,Average Performer
454.0,82.3,14.68,43,High Performer
64.0,30.58,17.85,21,Average Performer
33.0,15.16,24.28,22,Low Performer
62.0,26.83,20.57,23,Low Performer
100.0,40.07,16.3,25,Average Performer
323.0,89.56,9.08,34,High Performer
240.0,75.0,10.0,32,Average Performer
249.0,89.98,11.14,24,High Performer
352.0,86.61,13.18,37,High Performer
216.0,80.56,5.78,20,High Performer
300.0,78.38,15.8,28,High Performer
148.0,38.93,12.96,38,Average Performer
92.0,38.19,21.27,24,Average Performer
420.0,83.13,10.72,44,High Performer
305.0,92.33,15.39,32,High Performer
52.0,47.24,23.77,11,Low Performer
30.0,25.11,24.28,12,Low Performer
102.0,51.13,14.39,20,Average Performer
205.0,55.45,18.62,37,Average Performer
133.0,69.75,18.73,19,Average Performer
234.0,57.12,23.75,41,Average Performer
215.0,58.14,12.91,37,Average Performer
11.0,9.71,15.69,11,Low Performer
180.0,75.0,15.98,24,Average Performer
233.0,55.52,21.51,42,Average Performer
26.0,43.54,30.0,6,Low Performer
213.0,80.38,13.0,24,High Performer
35.0,13.07,22.41,27,Low Performer
78.0,46.05,20.2,17,Average Performer
276.0,71.48,18.04,32,High Performer
101.0,41.89,16.95,24,Low Performer
110.0,45.76,11.81,24,Average Performer
382.0,89.71,15.14,36,High Performer
150.0,62.29,14.92,24,Average Performer
184.0,57.39,21.87,32,Average Performer
270.0,64.62,5.0,34,High Performer
487.0,94.64,16.29,44,High Performer
290.0,85.49,13.0,28,High Performer
255.0,69.24,9.74,29,High Performer
364.0,81.15,11.19,33,High Performer
127.0,48.75,21.1,26,Average Performer
225.0,83.27,21.71,24,High Performer
74.0,46.09,10.46,16,Average Performer
248.0,75.0,28.68,33,Average Performer
293.0,78.48,16.24,28,High Performer
214.0,63.06,30.0,34,Average Performer
124.0,72.72,21.27,17,Average Performer
392.0,84.11,10.63,38,High Performer
83.0,51.79,19.41,16,Average Performer
234.0,88.85,19.76,24,High Performer
372.0,88.65,14.67,36,High Performer
427.0,77.97,16.77,45,High Performer
143.0,51.04,24.36,28,Average Performer
71.0,41.92,13.83,17,Average Performer
62.0,38.65,20.06,16,Average Performer
285.0,93.6,8.44,27,High Performer
18.0,26.21,21.56,7,Low Performer
219.0,49.86,19.23,44,Average Performer
141.0,40.3,19.83,35,Average Performer
311.0,82.54,11.11,34,High Performer
519.0,98.8,20.35,46,High Performer
205.0,55.52,14.43,37,Average Performer
59.0,21.75,19.59,27,Low Performer
100.0,47.83,27.93,21,Low Performer
271.0,92.91,12.45,25,High Performer
213.0,57.45,23.81,37,Average Performer
31.0,15.42,30.0,20,Low Performer
16.0,9.48,30.0,17,Low Performer
29.0,9.87,21.58,29,Low Performer
83.0,41.64,29.67,20,Low Performer
393.0,75.81,10.66,49,High Performer
198.0,48.33,20.37,41,Average Performer
140.0,36.74,18.45,38,Average Performer
129.0,47.85,10.0,27,Average Performer
297.0,82.77,7.28,31,High Performer
320.0,100.0,15.07,29,High Performer
60.0,30.0,20.47,20,Average Performer
424.0,84.5,8.95,44,High Performer
130.0,44.72,20.7,29,Low Performer
79.0,44.11,30.0,18,Low Performer
190.0,47.57,15.08,40,Average Performer
189.0,69.82,16.49,27,Average Performer
70.0,50.0,26.29,14,Low Performer
26.0,16.54,30.0,16,Low Performer
93.0,30.0,12.76,31,Average Performer
214.0,94.18,14.71,21,High Performer
187.0,50.53,24.43,37,Average Performer
